"filename", "language", "HTML", "comment", "blank", "total"
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\general-info\external-files-table.shtml", "HTML", 37, 0, 1, 38
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\general-info\list-lang-codes.html", "HTML", 777, 4, 0, 781
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html101\01-cs-introduction.html", "HTML", 140, 4, 0, 144
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html101\02-concepts.html", "HTML", 201, 4, 0, 205
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html101\03-basics-example.html", "HTML", 10, 1, 0, 11
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html101\03-basics.html", "HTML", 220, 4, 0, 224
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html101\04-text-formatting-example.html", "HTML", 27, 0, 0, 27
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html101\04-text-formatting.html", "HTML", 103, 4, 0, 107
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html101\05-block-inline-elements.html", "HTML", 58, 4, 0, 62
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html101\06-entities-example.html", "HTML", 16, 0, 0, 16
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html101\06-entities.html", "HTML", 216, 4, 0, 220
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html101\07-directories.html", "HTML", 132, 4, 1, 137
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html101\08-links-example01.html", "HTML", 13, 0, 0, 13
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html101\08-links-example02.html", "HTML", 12, 0, 0, 12
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html101\08-links-example03.html", "HTML", 14, 0, 0, 14
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html101\08-links-example04.html", "HTML", 14, 0, 0, 14
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html101\08-links-example05.html", "HTML", 14, 0, 0, 14
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html101\08-links.html", "HTML", 152, 4, 0, 156
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html101\09-images-example01.html", "HTML", 13, 0, 0, 13
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html101\09-images-example02.html", "HTML", 16, 0, 0, 16
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html101\09-images.html", "HTML", 196, 4, 0, 200
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html101\10-lists-example01.html", "HTML", 16, 0, 0, 16
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html101\10-lists-example02.html", "HTML", 36, 0, 0, 36
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html101\10-lists-example03.html", "HTML", 18, 0, 0, 18
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html101\10-lists.html", "HTML", 196, 4, 0, 200
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html101\11-tables-example01.html", "HTML", 23, 0, 0, 23
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html101\11-tables-example02.html", "HTML", 31, 0, 0, 31
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html101\11-tables-example03.html", "HTML", 28, 0, 0, 28
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html101\11-tables-example04.html", "HTML", 32, 0, 0, 32
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\html\html101\11-tables.html", "HTML", 270, 4, 0, 274
