"filename", "language", "HTML", "CSS", "comment", "blank", "total"
"s:\Documents\GitHub\ProStartup-Learn\CSS\fonts.css", "CSS", 0, 296, 0, 65, 361
"s:\Documents\GitHub\ProStartup-Learn\CSS\layout.css", "CSS", 0, 874, 12, 154, 1040
"s:\Documents\GitHub\ProStartup-Learn\SSI\cs\footerLesson.shtml", "HTML", 5, 0, 0, 0, 5
"s:\Documents\GitHub\ProStartup-Learn\SSI\cs\game-development\web\twine\sidenav-twine101.shtml", "HTML", 15, 0, 0, 0, 15
"s:\Documents\GitHub\ProStartup-Learn\SSI\cs\headLinks.shtml", "HTML", 2, 0, 0, 0, 2
"s:\Documents\GitHub\ProStartup-Learn\SSI\cs\img-vs-picture.shtml", "HTML", 22, 0, 0, 0, 22
"s:\Documents\GitHub\ProStartup-Learn\SSI\cs\sidenav-html-elements.shtml", "HTML", 121, 0, 0, 0, 121
"s:\Documents\GitHub\ProStartup-Learn\SSI\cs\sidenav-html.shtml", "HTML", 23, 0, 0, 0, 23
"s:\Documents\GitHub\ProStartup-Learn\SSI\cs\sidenav-html102.shtml", "HTML", 29, 0, 0, 0, 29
"s:\Documents\GitHub\ProStartup-Learn\SSI\cs\sidenav-html103.shtml", "HTML", 18, 0, 0, 0, 18
"s:\Documents\GitHub\ProStartup-Learn\SSI\cs\topnav.shtml", "HTML", 6, 0, 0, 0, 6
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\alternatives.html", "HTML", 0, 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine-courses.html", "HTML", 0, 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\01-introduction.html", "HTML", 70, 0, 4, 0, 74
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\02-concepts.html", "HTML", 46, 0, 4, 0, 50
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\03-basics.html", "HTML", 90, 0, 4, 0, 94
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\04-links-EXAMPLE.html", "HTML", 33, 0, 0, 2, 35
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\04-links.html", "HTML", 128, 0, 4, 0, 132
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\05-tags.html", "HTML", 0, 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\general-info-web-dev\browser-render-mode-quirk.html", "HTML", 0, 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\networking\introduction.html", "HTML", 0, 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\networking\transmission-protocols\http\coursesList.html", "HTML", 0, 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\networking\transmission-protocols\http\mime-types\audio.html", "HTML", 0, 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\networking\transmission-protocols\http\mime-types\images.html", "HTML", 428, 0, 4, 0, 432
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\networking\transmission-protocols\http\mime-types\introduction.html", "HTML", 0, 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\networking\transmission-protocols\http\mime-types\video.html", "HTML", 0, 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\networking\transmission-protocols\introduction.html", "HTML", 0, 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\general-info\external-files-table.shtml", "HTML", 37, 0, 0, 1, 38
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\general-info\list-country-codes.html", "HTML", 1054, 0, 4, 20, 1078
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\general-info\list-lang-codes.html", "HTML", 811, 0, 4, 0, 815
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\01-cs-introduction.html", "HTML", 135, 0, 4, 0, 139
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\02-concepts.html", "HTML", 197, 0, 4, 0, 201
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\03-basics-example.html", "HTML", 10, 0, 1, 0, 11
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\03-basics.html", "HTML", 217, 0, 4, 0, 221
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\04-text-formatting-example.html", "HTML", 27, 0, 0, 0, 27
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\04-text-formatting.html", "HTML", 99, 0, 4, 0, 103
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\05-block-inline-elements.html", "HTML", 54, 0, 4, 0, 58
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\06-entities-example.html", "HTML", 16, 0, 0, 0, 16
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\06-entities.html", "HTML", 212, 0, 4, 0, 216
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\07-directories.html", "HTML", 128, 0, 4, 1, 133
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\08-links-example01.html", "HTML", 13, 0, 0, 0, 13
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\08-links-example02.html", "HTML", 12, 0, 0, 0, 12
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\08-links-example03.html", "HTML", 14, 0, 0, 0, 14
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\08-links-example04.html", "HTML", 14, 0, 0, 0, 14
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\08-links-example05.html", "HTML", 14, 0, 0, 0, 14
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\08-links.html", "HTML", 148, 0, 4, 0, 152
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\09-images-example01.html", "HTML", 13, 0, 0, 0, 13
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\09-images-example02.html", "HTML", 16, 0, 0, 0, 16
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\09-images.html", "HTML", 192, 0, 4, 0, 196
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\10-lists-example01.html", "HTML", 16, 0, 0, 0, 16
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\10-lists-example02.html", "HTML", 36, 0, 0, 0, 36
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\10-lists-example03.html", "HTML", 18, 0, 0, 0, 18
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\10-lists.html", "HTML", 192, 0, 4, 0, 196
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\11-tables-example01.html", "HTML", 23, 0, 0, 0, 23
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\11-tables-example02.html", "HTML", 31, 0, 0, 0, 31
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\11-tables-example03.html", "HTML", 28, 0, 0, 0, 28
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\11-tables-example04.html", "HTML", 32, 0, 0, 0, 32
