"filename", "language", "HTML", "CSS", "comment", "blank", "total"
"s:\Documents\GitHub\ProStartup-Learn\CSS\fonts.css", "CSS", 0, -296, 0, -65, -361
"s:\Documents\GitHub\ProStartup-Learn\CSS\layout.css", "CSS", 0, -874, -12, -154, -1040
"s:\Documents\GitHub\ProStartup-Learn\SSI\cs\footerLesson.shtml", "HTML", -5, 0, 0, 0, -5
"s:\Documents\GitHub\ProStartup-Learn\SSI\cs\game-development\web\twine\sidenav-twine101.shtml", "HTML", -15, 0, 0, 0, -15
"s:\Documents\GitHub\ProStartup-Learn\SSI\cs\headLinks.shtml", "HTML", -2, 0, 0, 0, -2
"s:\Documents\GitHub\ProStartup-Learn\SSI\cs\img-vs-picture.shtml", "HTML", -22, 0, 0, 0, -22
"s:\Documents\GitHub\ProStartup-Learn\SSI\cs\sidenav-html-elements.shtml", "HTML", -121, 0, 0, 0, -121
"s:\Documents\GitHub\ProStartup-Learn\SSI\cs\sidenav-html.shtml", "HTML", -23, 0, 0, 0, -23
"s:\Documents\GitHub\ProStartup-Learn\SSI\cs\sidenav-html102.shtml", "HTML", -29, 0, 0, 0, -29
"s:\Documents\GitHub\ProStartup-Learn\SSI\cs\sidenav-html103.shtml", "HTML", -18, 0, 0, 0, -18
"s:\Documents\GitHub\ProStartup-Learn\SSI\cs\topnav.shtml", "HTML", -6, 0, 0, 0, -6
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\list\story-formats.html", "HTML", 0, 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\01-introduction.html", "HTML", 1, 0, 0, 0, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\02-concepts.html", "HTML", 1, 0, 0, 0, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\03-basics.html", "HTML", 1, 0, 0, 0, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\04-links-EXAMPLE02.html", "HTML", 34, 0, 0, 2, 36
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\04-links.html", "HTML", 26, 0, 0, 0, 26
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\05-formats-EXAMPLE.html", "HTML", 80, 0, 28, 1, 109
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\05-formats-EXAMPLE02.html", "HTML", 69, 0, 0, 0, 69
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\05-formats-EXAMPLE03.html", "HTML", 653, 0, 0, 317, 970
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\05-formats.html", "HTML", 92, 0, 4, 0, 96
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\05-tags.html", "HTML", 0, 0, 0, -1, -1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\06-html-css-js-EXAMPLE.html", "HTML", 34, 0, 0, 2, 36
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\06-html-css-js-EXAMPLE02.html", "HTML", 36, 0, 0, 2, 38
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\06-html-css-js.html", "HTML", 134, 0, 4, 0, 138
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\07-testing.html", "HTML", 105, 0, 4, 0, 109
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\08-exporting.html", "HTML", 55, 0, 4, 0, 59
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\09-next.html", "HTML", 35, 0, 4, 0, 39
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\networking\protocols\http\coursesList.html", "HTML", 0, 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\networking\protocols\http\mime-types\audio.html", "HTML", 987, 0, 4, 0, 991
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\networking\protocols\http\mime-types\images.html", "HTML", 507, 0, 4, 0, 511
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\networking\protocols\http\mime-types\introduction.html", "HTML", 0, 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\networking\protocols\http\mime-types\video.html", "HTML", 0, 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\networking\protocols\introduction.html", "HTML", 0, 0, 0, 1, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\networking\transmission-protocols\http\coursesList.html", "HTML", 0, 0, 0, -1, -1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\networking\transmission-protocols\http\mime-types\audio.html", "HTML", 0, 0, 0, -1, -1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\networking\transmission-protocols\http\mime-types\images.html", "HTML", -428, 0, -4, 0, -432
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\networking\transmission-protocols\http\mime-types\introduction.html", "HTML", 0, 0, 0, -1, -1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\networking\transmission-protocols\http\mime-types\video.html", "HTML", 0, 0, 0, -1, -1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\networking\transmission-protocols\introduction.html", "HTML", 0, 0, 0, -1, -1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\01-cs-introduction.html", "HTML", 1, 0, 0, 0, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\02-concepts.html", "HTML", 1, 0, 0, 0, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\03-basics.html", "HTML", 1, 0, 0, 0, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\04-text-formatting.html", "HTML", 1, 0, 0, 0, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\05-block-inline-elements.html", "HTML", 1, 0, 0, 0, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\06-entities.html", "HTML", 1, 0, 0, 0, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\07-directories.html", "HTML", 1, 0, 0, 0, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\08-links.html", "HTML", 1, 0, 0, 0, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\09-images.html", "HTML", 1, 0, 0, 0, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\10-lists.html", "HTML", 1, 0, 0, 0, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\11-tables.html", "HTML", 1, 0, 0, 0, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\12-next.html", "HTML", 1, 0, 0, 0, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html102\01-cs-introduction.html", "HTML", 1, 0, 0, 0, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html102\02-iframe.html", "HTML", 1, 0, 0, 0, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html102\03-iframe-security.html", "HTML", 1, 0, 0, 0, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html102\04-audio-element.html", "HTML", 1, 0, 0, 0, 1
"s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html102\05-audio-external.html", "HTML", 1, 0, 0, 0, 1
