Date : 2024-01-21 10:05:09
Directory : s:\Documents\GitHub\ProStartup-Learn\courses
Total : 127 files,  1053 codes, 37 comments, 104 blanks, all 1194 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| HTML     |        125 |      2,223 |         49 |        323 |      2,595 |
| CSS      |          2 |     -1,170 |        -12 |       -219 |     -1,401 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                      |        127 |      1,053 |         37 |        104 |      1,194 |
| ..                                                                                                                     |         12 |     -1,455 |        -15 |       -219 |     -1,689 |
| .. (Files)                                                                                                             |          1 |        -44 |         -3 |          0 |        -47 |
| ..\CSS                                                                                                                 |          2 |     -1,170 |        -12 |       -219 |     -1,401 |
| ..\SSI                                                                                                                 |          9 |       -241 |          0 |          0 |       -241 |
| ..\SSI\cs                                                                                                              |          9 |       -241 |          0 |          0 |       -241 |
| ..\SSI\cs (Files)                                                                                                      |          8 |       -226 |          0 |          0 |       -226 |
| ..\SSI\cs\game-development                                                                                             |          1 |        -15 |          0 |          0 |        -15 |
| ..\SSI\cs\game-development\web                                                                                         |          1 |        -15 |          0 |          0 |        -15 |
| ..\SSI\cs\game-development\web\twine                                                                                   |          1 |        -15 |          0 |          0 |        -15 |
| cs                                                                                                                     |        115 |      2,508 |         52 |        323 |      2,883 |
| cs\game-development                                                                                                    |         17 |      1,356 |         48 |        324 |      1,728 |
| cs\game-development\web                                                                                                |         17 |      1,356 |         48 |        324 |      1,728 |
| cs\game-development\web\twine                                                                                          |         17 |      1,356 |         48 |        324 |      1,728 |
| cs\game-development\web\twine\list                                                                                     |          1 |          0 |          0 |          1 |          1 |
| cs\game-development\web\twine\twine101                                                                                 |         16 |      1,356 |         48 |        323 |      1,727 |
| cs\networking                                                                                                          |         12 |      1,066 |          4 |         -1 |      1,069 |
| cs\networking\protocols                                                                                                |          6 |      1,494 |          8 |          4 |      1,506 |
| cs\networking\protocols (Files)                                                                                        |          1 |          0 |          0 |          1 |          1 |
| cs\networking\protocols\http                                                                                           |          5 |      1,494 |          8 |          3 |      1,505 |
| cs\networking\protocols\http (Files)                                                                                   |          1 |          0 |          0 |          1 |          1 |
| cs\networking\protocols\http\mime-types                                                                                |          4 |      1,494 |          8 |          2 |      1,504 |
| cs\networking\transmission-protocols                                                                                   |          6 |       -428 |         -4 |         -5 |       -437 |
| cs\networking\transmission-protocols (Files)                                                                           |          1 |          0 |          0 |         -1 |         -1 |
| cs\networking\transmission-protocols\http                                                                              |          5 |       -428 |         -4 |         -4 |       -436 |
| cs\networking\transmission-protocols\http (Files)                                                                      |          1 |          0 |          0 |         -1 |         -1 |
| cs\networking\transmission-protocols\http\mime-types                                                                   |          4 |       -428 |         -4 |         -3 |       -435 |
| cs\web-development                                                                                                     |         86 |         86 |          0 |          0 |         86 |
| cs\web-development\front-end                                                                                           |         86 |         86 |          0 |          0 |         86 |
| cs\web-development\front-end\html                                                                                      |         86 |         86 |          0 |          0 |         86 |
| cs\web-development\front-end\html\html101                                                                              |         12 |         12 |          0 |          0 |         12 |
| cs\web-development\front-end\html\html102                                                                              |          8 |          8 |          0 |          0 |          8 |
| cs\web-development\front-end\html\html103                                                                              |          9 |          9 |          0 |          0 |          9 |
| cs\web-development\front-end\html\info-multimedia                                                                      |          1 |          1 |          0 |          0 |          1 |
| cs\web-development\front-end\html\list                                                                                 |         56 |         56 |          0 |          0 |         56 |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                               | language | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| s:\Documents\GitHub\ProStartup-Learn\CSS\fonts.css                                                                     | CSS      |       -296 |          0 |        -65 |       -361 |
| s:\Documents\GitHub\ProStartup-Learn\CSS\layout.css                                                                    | CSS      |       -874 |        -12 |       -154 |     -1,040 |
| s:\Documents\GitHub\ProStartup-Learn\SSI\cs\footerLesson.shtml                                                         | HTML     |         -5 |          0 |          0 |         -5 |
| s:\Documents\GitHub\ProStartup-Learn\SSI\cs\game-development\web\twine\sidenav-twine101.shtml                          | HTML     |        -15 |          0 |          0 |        -15 |
| s:\Documents\GitHub\ProStartup-Learn\SSI\cs\headLinks.shtml                                                            | HTML     |         -2 |          0 |          0 |         -2 |
| s:\Documents\GitHub\ProStartup-Learn\SSI\cs\img-vs-picture.shtml                                                       | HTML     |        -22 |          0 |          0 |        -22 |
| s:\Documents\GitHub\ProStartup-Learn\SSI\cs\sidenav-html-elements.shtml                                                | HTML     |       -121 |          0 |          0 |       -121 |
