Date : 2024-01-21 10:05:09
Directory : s:\Documents\GitHub\ProStartup-Learn\courses
Total : 542 files,  19947 codes, 462 comments, 652 blanks, all 21061 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| HTML     |        542 |     19,947 |        462 |        652 |     21,061 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                         | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                            |        542 |     19,947 |        462 |        652 |     21,061 |
| cs                                                                                                                           |        542 |     19,947 |        462 |        652 |     21,061 |
| cs\game-development                                                                                                          |         19 |      1,723 |         64 |        329 |      2,116 |
| cs\game-development\web                                                                                                      |         19 |      1,723 |         64 |        329 |      2,116 |
| cs\game-development\web\twine                                                                                                |         19 |      1,723 |         64 |        329 |      2,116 |
| cs\game-development\web\twine (Files)                                                                                        |          2 |          0 |          0 |          2 |          2 |
| cs\game-development\web\twine\list                                                                                           |          1 |          0 |          0 |          1 |          1 |
| cs\game-development\web\twine\twine101                                                                                       |         16 |      1,723 |         64 |        326 |      2,113 |
| cs\general-info-web-dev                                                                                                      |          1 |          0 |          0 |          1 |          1 |
| cs\networking                                                                                                                |          7 |      1,494 |          8 |          5 |      1,507 |
| cs\networking (Files)                                                                                                        |          1 |          0 |          0 |          1 |          1 |
| cs\networking\protocols                                                                                                      |          6 |      1,494 |          8 |          4 |      1,506 |
| cs\networking\protocols (Files)                                                                                              |          1 |          0 |          0 |          1 |          1 |
| cs\networking\protocols\http                                                                                                 |          5 |      1,494 |          8 |          3 |      1,505 |
| cs\networking\protocols\http (Files)                                                                                         |          1 |          0 |          0 |          1 |          1 |
| cs\networking\protocols\http\mime-types                                                                                      |          4 |      1,494 |          8 |          2 |      1,504 |
| cs\web-development                                                                                                           |        515 |     16,730 |        390 |        317 |     17,437 |
| cs\web-development\front-end                                                                                                 |        515 |     16,730 |        390 |        317 |     17,437 |
| cs\web-development\front-end (Files)                                                                                         |          1 |          0 |          0 |          1 |          1 |
